village,abaza,latitude,longitude,language,dialect,map_label
Inzhich-Chukun,Йынджыгь-ЧкIвын,44.053592,41.7811343,Abaza,T’ap’anta,Inzhich-Chukun
Krasniy Vostok,Гвымлокт,43.96432,42.304172,Abaza,T’ap’anta,Krasniy Vostok
Abazakt,"Абазакт, older Гьебакъвей",44.25333,41.901099,Abaza,Ashkharywa, 
Abaza-Khabl,Абаза ХIабльа,44.370922,41.639126,Abaza,T’ap’anta, 
Adyge-Khabl,Адыгьа ХIабльа,44.33333,41.93333,Abaza,T’ap’anta, 
Grushka,Грушка,44.376641,41.66284,Abaza,T’ap’anta, 
Kara-Pago,Къарапагва,44.1325,41.94444,Abaza,T’ap’anta, 
Koydan,Къвайдан,44.10611,42.15639,Abaza,T’ap’anta, 
Kubina,Къвбина,44.063184,41.952787,Abaza,T’ap’anta, 
Malo-Abazinsk,"Къазма, Локт-ЧкIвын",44.383045,41.675858,Abaza,T’ap’anta, 
Psauche-Dakhe,"ПсауычIа Даща, older Кълычкт",44.210894,41.88103,Abaza,T’ap’anta, 
Psizh,Псыжв,44.23504,42.015787,Abaza,T’ap’anta, 
Tapanta,ТIапIанта,44.350013,41.670923,Abaza,T’ap’anta, 
Khumara,ХIвмара,43.858588,41.915129,Abaza,T’ap’anta, 
Elburgan,АлбыргIан,44.083779,41.801124,Abaza,T’ap’anta, 
Ersakon,Абата ХIабльа,44.430529,41.774622,Abaza,T’ap’anta, 
Apsua,Апсуа,44.449693,41.795272,Abaza,Ashkharywa, 
Novo-Kuvinsk,Хъужь цӏыкӏу,44.399555,41.782545,Abaza,Ashkharywa, 
Staro-Kuvinsk,Хъвыжв-Ду,44.34702,41.777945,Abaza,Ashkharywa, 
